4 2 3660 150282 2 0 0 3 10 3660 0 1990 0 98053 47 -122 3090 53578
3 2 2980 12600 1 0 0 3 8 1590 1390 1941 2012 98033 47 -122 1520 9660
3 2 3680 35617 1 0 0 3 10 2390 1290 1985 0 98052 47 -122 3570 35633
3 2 1800 3300 2 0 0 3 7 1690 110 2004 0 98118 47 -122 1570 3902
2 2 1610 1968 2 0 0 4 7 1610 0 1979 0 98056 47 -122 1950 1968
3 3 1460 1254 3 0 0 3 8 1460 0 2000 0 98103 47 -122 1400 1255
4 2 2270 8196 1 0 0 5 7 1150 1120 1963 0 98034 47 -122 1920 10122
4 3 1960 5000 1 0 0 5 7 1050 910 1965 0 98136 47 -122 1360 5000
3 2 1890 11036 1 0 0 3 8 1460 430 1973 0 98133 47 -122 2040 7524
2 1 1170 4635 1 0 0 4 6 690 480 1924 0 98117 47 -122 1240 4120
4 2 3010 6854 2 0 2 3 9 2570 440 2012 0 98065 47 -121 1830 2952
3 2 1580 5725 2 0 0 3 7 1580 0 2004 0 98072 47 -122 1510 5725
3 4 2550 3900 2 0 2 3 8 2050 500 1940 2003 98199 47 -122 2340 6400
3 1 1360 73616 1 0 0 3 7 1360 0 1971 0 98072 47 -122 2040 50965
3 3 1860 2218 3 0 0 3 8 1860 0 2001 0 98125 47 -122 1860 2218
4 2 2040 7260 2 0 0 4 7 2040 0 1963 0 98133 47 -122 2040 7360
3 2 2180 11100 1 0 0 5 8 1700 480 1979 0 98056 47 -122 2350 11397
4 2 2550 9736 1 0 0 4 8 2550 0 1967 0 98002 47 -122 1770 9686
3 2 2450 4400 2 0 0 4 9 1800 650 1922 0 98102 47 -122 2220 5500
3 2 3140 9808 2 0 0 3 9 2500 640 2001 0 98052 47 -122 2370 10014
3 1 800 3060 1 0 0 4 6 800 0 1903 0 98117 47 -122 1180 3060
4 2 2760 6000 2 0 0 5 7 2230 530 1942 0 98115 47 -122 1600 6000
2 1 1170 3000 1 0 0 3 7 1170 0 1910 0 98103 47 -122 1530 4000
2 1 720 6687 1 0 0 3 6 720 0 1942 0 98117 47 -122 840 6687
2 1 970 10423 1 0 0 3 7 970 0 1947 0 98133 47 -122 1200 7857
3 1 1870 7671 1 0 0 4 8 1720 150 1937 0 98177 47 -122 1460 7679
3 2 1900 3800 2 0 0 3 7 1900 0 2006 0 98059 47 -122 1950 3800
3 2 1820 99752 1 0 0 4 7 1820 0 1969 0 98092 47 -122 1850 117612
3 1 1450 4000 1 0 1 4 8 950 500 1948 0 98118 47 -122 1880 4000
4 2 3650 8354 1 1 4 3 9 1830 1820 2000 0 98074 47 -122 3120 18841
